Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Segment,Category,Sub_Category,Sales,Quantity,Profit
ORD00039,2022-12-26,CUST0172,Customer_172,East,Home Office,Technology,Accessories,497.16,1,81.3
ORD00040,2023-10-22,CUST0264,Customer_264,East,Home Office,Technology,Phones,1697.79,5,-135.45
ORD00041,2022-05-28,CUST0042,Customer_42,Central,Consumer,Furniture,Bookcases,430.23,5,76.07
ORD00042,2022-09-01,CUST0193,Customer_193,Central,Home Office,Office Supplies,Art,858.98,3,-1.91
ORD00043,2022-08-30,CUST0193,Customer_193,Central,Home Office,Office Supplies,Paper,1243.79,1,50.39
ORD00044,2022-11-01,CUST0087,Customer_87,West,Corporate,Office Supplies,Paper,1664.14,5,374.05
ORD00045,2022-04-04,CUST0141,Customer_141,West,Home Office,Technology,Accessories,1404.25,6,344.03
ORD00046,2022-05-24,CUST0290,Customer_290,South,Corporate,Office Supplies,Art,522.18,6,-26.1
ORD00047,2023-05-17,CUST0284,Customer_284,Central,Home Office,Technology,Accessories,1420.94,2,122.58
ORD00048,2023-02-15,CUST0010,Customer_10,West,Consumer,Furniture,Chairs,282.46,10,64.14
ORD00049,2023-10-06,CUST0192,Customer_192,Central,Corporate,Technology,Accessories,1273.98,7,135.38
ORD00050,2023-09-11,CUST0080,Customer_80,West,Corporate,Office Supplies,Binders,1427.53,5,-63.11
ORD00051,2023-04-06,CUST0254,Customer_254,Central,Consumer,Technology,Copiers,1672.56,6,140.79
ORD00052,2022-03-23,CUST0040,Customer_40,Central,Consumer,Office Supplies,Paper,910.68,6,-21.29
ORD00053,2022-03-07,CUST0057,Customer_57,South,Corporate,Furniture,Furnishings,1040.42,6,131.22
ORD00054,2022-04-10,CUST0033,Customer_33,Central,Home Office,Furniture,Tables,907.16,6,23.74
ORD00055,2022-03-24,CUST0123,Customer_123,Central,Corporate,Office Supplies,Art,1744.75,7,389.48
ORD00056,2022-09-16,CUST0290,Customer_290,South,Corporate,Technology,Machines,1383.98,1,238.9
ORD00057,2022-12-16,CUST0108,Customer_108,West,Home Office,Technology,Phones,439.48,9,111.99
ORD00058,2022-08-31,CUST0247,Customer_247,South,Consumer,Furniture,Furnishings,1938.43,1,288.13
ORD00059,2023-08-14,CUST0206,Customer_206,West,Home Office,Office Supplies,Art,584.93,6,-25.62
ORD00060,2023-06-17,CUST0234,Customer_234,East,Home Office,Technology,Copiers,916.37,8,-43.97
ORD00061,2022-05-09,CUST0197,Customer_197,East,Consumer,Technology,Phones,1731.77,1,155.76
ORD00062,2023-02-21,CUST0049,Customer_49,South,Corporate,Furniture,Furnishings,1752.33,8,156.58
ORD00063,2022-10-06,CUST0052,Customer_52,East,Consumer,Technology,Machines,916.17,10,-71.08
ORD00064,2023-11-20,CUST0114,Customer_114,East,Home Office,Furniture,Bookcases,695.94,1,191.77
ORD00065,2023-05-23,CUST0273,Customer_273,Central,Corporate,Furniture,Bookcases,286.69,8,37.26
ORD00066,2022-03-28,CUST0229,Customer_229,East,Consumer,Furniture,Chairs,110.92,1,-6.05
ORD00067,2023-02-27,CUST0133,Customer_133,Central,Consumer,Technology,Phones,544.06,1,70.6
ORD00068,2022-01-25,CUST0020,Customer_20,South,Consumer,Furniture,Chairs,836.66,2,-46.74
ORD00069,2022-05-18,CUST0104,Customer_104,Central,Consumer,Office Supplies,Paper,1947.39,2,330.21
ORD00070,2022-04-12,CUST0048,Customer_48,East,Home Office,Technology,Copiers,1991.24,10,357.06
ORD00071,2022-04-06,CUST0237,Customer_237,East,Corporate,Furniture,Chairs,841.5,6,40.5
ORD00072,2023-02-10,CUST0275,Customer_275,East,Home Office,Office Supplies,Storage,1459.58,8,320.47
ORD00073,2022-06-29,CUST0079,Customer_79,West,Home Office,Technology,Phones,1688.37,6,435.91
ORD00074,2022-06-19,CUST0181,Customer_181,West,Consumer,Technology,Machines,299.61,1,62.51
ORD00075,2022-11-05,CUST0095,Customer_95,East,Home Office,Office Supplies,Binders,1275.29,2,261.16
ORD00076,2022-06-12,CUST0130,Customer_130,South,Consumer,Furniture,Bookcases,1387.34,8,130.99
ORD00077,2023-08-04,CUST0081,Customer_81,East,Consumer,Technology,Accessories,1633.74,3,321.79
ORD00078,2022-08-15,CUST0263,Customer_263,South,Corporate,Office Supplies,Binders,796.59,3,73.72
ORD00079,2023-07-26,CUST0219,Customer_219,Central,Home Office,Technology,Copiers,614.4,3,-25.71
ORD00080,2023-02-27,CUST0191,Customer_191,West,Corporate,Technology,Phones,1731.46,2,-1.2
ORD00081,2022-03-21,CUST0167,Customer_167,East,Home Office,Office Supplies,Paper,921.7,1,240.84
ORD00082,2022-04-01,CUST0272,Customer_272,West,Consumer,Furniture,Bookcases,1271.16,5,152.28
ORD00083,2023-12-26,CUST0184,Customer_184,Central,Home Office,Furniture,Tables,985.27,6,160.48
ORD00084,2022-02-17,CUST0227,Customer_227,East,Corporate,Technology,Accessories,130.62,3,10.82
ORD00085,2022-03-23,CUST0271,Customer_271,Central,Consumer,Furniture,Furnishings,1403.53,10,241.68
ORD00086,2022-11-12,CUST0261,Customer_261,East,Home Office,Office Supplies,Binders,1184.78,5,28.19
ORD00087,2023-01-08,CUST0071,Customer_71,South,Consumer,Furniture,Tables,462.08,3,127.67
ORD00088,2022-04-18,CUST0154,Customer_154,Central,Home Office,Furniture,Tables,889.01,9,103.89
ORD00089,2022-11-09,CUST0250,Customer_250,East,Corporate,Technology,Copiers,1090.35,4,-90.83
ORD00090,2023-06-04,CUST0051,Customer_51,Central,Corporate,Technology,Phones,566.71,8,120.41
ORD00091,2022-07-13,CUST0210,Customer_210,South,Corporate,Technology,Copiers,502.73,1,44.81
ORD00092,2023-07-02,CUST0272,Customer_272,West,Consumer,Technology,Accessories,87.32,5,4.8
ORD00093,2022-04-20,CUST0042,Customer_42,Central,Consumer,Furniture,Furnishings,640.06,7,94.09
ORD00094,2022-02-24,CUST0056,Customer_56,West,Consumer,Technology,Copiers,660.85,8,64.85
ORD00095,2022-07-27,CUST0168,Customer_168,West,Corporate,Office Supplies,Binders,902.45,3,27.72
ORD00096,2022-05-04,CUST0016,Customer_16,South,Consumer,Furniture,Chairs,1106.08,2,-34.35
ORD00097,2023-07-09,CUST0255,Customer_255,West,Corporate,Office Supplies,Binders,1264.01,5,338.99
ORD00098,2022-08-27,CUST0248,Customer_248,Central,Consumer,Technology,Phones,506.39,10,28.01
ORD00099,2023-10-06,CUST0185,Customer_185,Central,Corporate,Furniture,Chairs,1846.6,6,275.9
ORD00100,2023-09-18,CUST0062,Customer_62,South,Consumer,Technology,Machines,891.83,7,22.64
ORD00101,2022-06-29,CUST0136,Customer_136,West,Home Office,Office Supplies,Storage,1902.91,10,26.77
ORD00102,2023-06-27,CUST0057,Customer_57,South,Corporate,Furniture,Tables,1226.36,10,266.23
ORD00103,2022-11-22,CUST0014,Customer_14,Central,Home Office,Technology,Phones,149.04,8,-1.15
ORD00104,2023-10-24,CUST0225,Customer_225,Central,Home Office,Furniture,Chairs,1590.07,6,-132.29
ORD00105,2022-01-20,CUST0268,Customer_268,West,Consumer,Technology,Phones,1199.35,6,202.04
ORD00106,2023-02-16,CUST0066,Customer_66,East,Corporate,Technology,Machines,480.25,3,60.46
ORD00107,2023-11-03,CUST0294,Customer_294,Central,Consumer,Office Supplies,Storage,64.96,2,14.47
ORD00108,2023-05-20,CUST0125,Customer_125,South,Consumer,Furniture,Bookcases,756.34,4,90.84
ORD00109,2023-05-02,CUST0251,Customer_251,Central,Consumer,Technology,Accessories,360.45,5,21.26
ORD00110,2023-05-02,CUST0262,Customer_262,East,Corporate,Technology,Copiers,1365.81,7,81.01
ORD00111,2022-12-22,CUST0045,Customer_45,West,Consumer,Furniture,Tables,1969.76,8,580.11
ORD00112,2022-12-03,CUST0220,Customer_220,South,Consumer,Technology,Phones,1883.89,9,104.74
ORD00113,2023-06-14,CUST0094,Customer_94,South,Corporate,Office Supplies,Binders,712.04,3,-54.7
ORD00114,2023-02-01,CUST0154,Customer_154,Central,Home Office,Office Supplies,Paper,1437.2,8,-114.03
ORD00115,2023-01-12,CUST0252,Customer_252,South,Home Office,Furniture,Chairs,1694.27,7,-144.24
ORD00116,2022-08-03,CUST0092,Customer_92,Central,Home Office,Office Supplies,Binders,324.32,1,-5.59
ORD00117,2022-03-10,CUST0192,Customer_192,Central,Corporate,Furniture,Chairs,860.86,8,1.03
ORD00118,2022-06-21,CUST0276,Customer_276,West,Consumer,Technology,Phones,606.04,2,102.71
ORD00119,2022-04-16,CUST0230,Customer_230,East,Corporate,Office Supplies,Paper,858.74,10,251.94
ORD00120,2022-06-16,CUST0283,Customer_283,Central,Corporate,Office Supplies,Binders,590.83,8,174.26
ORD00121,2022-07-04,CUST0081,Customer_81,East,Consumer,Office Supplies,Paper,1606.5,6,172.9
ORD00122,2022-01-13,CUST0014,Customer_14,Central,Home Office,Office Supplies,Storage,1811.06,5,-151.16
ORD00123,2022-02-27,CUST0026,Customer_26,East,Corporate,Technology,Copiers,574.07,10,7.25
ORD00124,2022-02-28,CUST0283,Customer_283,Central,Corporate,Technology,Accessories,908.58,6,104.87
ORD00125,2022-02-24,CUST0021,Customer_21,Central,Consumer,Furniture,Tables,1551.78,2,4.5
ORD00126,2023-06-05,CUST0058,Customer_58,East,Consumer,Office Supplies,Paper,1269.79,10,-96.2
ORD00127,2023-11-03,CUST0246,Customer_246,Central,Consumer,Furniture,Furnishings,975.1,6,39.14
ORD00128,2023-07-30,CUST0094,Customer_94,South,Corporate,Furniture,Tables,107.8,4,16.09
ORD00129,2022-01-13,CUST0016,Customer_16,South,Consumer,Furniture,Bookcases,808.34,4,71.56
ORD00130,2023-08-28,CUST0001,Customer_1,West,Consumer,Furniture,Bookcases,903.18,4,-51.55
ORD00131,2022-02-27,CUST0279,Customer_279,West,Home Office,Office Supplies,Art,853.76,7,3.61
ORD00132,2022-08-23,CUST0174,Customer_174,East,Consumer,Technology,Phones,922.35,7,227.65
ORD00133,2022-12-02,CUST0139,Customer_139,Central,Home Office,Furniture,Chairs,945.75,4,-40.51
ORD00134,2022-10-28,CUST0233,Customer_233,South,Corporate,Technology,Accessories,584.78,4,115.82
ORD00135,2023-11-24,CUST0120,Customer_120,West,Consumer,Technology,Copiers,1264.43,2,192.55
ORD00136,2023-10-01,CUST0293,Customer_293,East,Corporate,Technology,Copiers,1132.54,2,194.69
ORD00137,2023-12-15,CUST0104,Customer_104,Central,Consumer,Technology,Machines,1173.74,5,137.95
ORD00138,2023-05-03,CUST0146,Customer_146,Central,Corporate,Furniture,Tables,107.69,3,-0.66
ORD00139,2023-11-07,CUST0071,Customer_71,South,Consumer,Furniture,Chairs,1984.77,8,394.09
ORD00140,2023-04-19,CUST0182,Customer_182,West,Home Office,Furniture,Tables,311.02,2,85.29
ORD00141,2023-05-18,CUST0279,Customer_279,West,Home Office,Furniture,Bookcases,141.49,4,11.37
ORD00142,2022-05-15,CUST0123,Customer_123,Central,Corporate,Technology,Accessories,1453.6,7,-55.3
ORD00143,2022-08-06,CUST0024,Customer_24,South,Consumer,Office Supplies,Art,258.08,10,23.62
ORD00144,2023-11-21,CUST0112,Customer_112,East,Home Office,Technology,Phones,1297.99,9,341.12
ORD00145,2022-01-26,CUST0118,Customer_118,South,Corporate,Technology,Accessories,1451.23,6,116.44
ORD00146,2023-01-17,CUST0202,Customer_202,East,Consumer,Office Supplies,Binders,1408.44,6,169.56
ORD00147,2023-10-18,CUST0173,Customer_173,East,Home Office,Technology,Copiers,802.74,9,138.67
ORD00148,2023-10-04,CUST0289,Customer_289,Central,Consumer,Furniture,Furnishings,1157.93,5,297.95
ORD00149,2022-10-08,CUST0233,Customer_233,South,Corporate,Technology,Accessories,948.94,9,191.37
ORD00150,2022-11-19,CUST0138,Customer_138,West,Consumer,Furniture,Chairs,419.5,7,49.91
ORD00151,2023-05-08,CUST0033,Customer_33,Central,Home Office,Furniture,Bookcases,1135.82,9,-14.33
ORD00152,2023-02-25,CUST0290,Customer_290,South,Corporate,Technology,Copiers,153.78,6,2.93
ORD00153,2023-04-13,CUST0064,Customer_64,South,Home Office,Technology,Phones,819.96,5,-66.06
ORD00154,2022-05-08,CUST0184,Customer_184,Central,Home Office,Furniture,Tables,676.05,3,153.37
ORD00155,2023-03-06,CUST0283,Customer_283,Central,Corporate,Technology,Machines,462.96,1,-26.01
ORD00156,2022-01-12,CUST0035,Customer_35,East,Corporate,Office Supplies,Storage,579.25,8,-26.49
ORD00157,2022-12-06,CUST0253,Customer_253,West,Consumer,Furniture,Chairs,1767.28,5,496.08
ORD00158,2023-10-28,CUST0061,Customer_61,East,Consumer,Technology,Copiers,889.48,2,92.28
ORD00159,2022-08-07,CUST0034,Customer_34,East,Consumer,Technology,Phones,1986.46,4,133.64
ORD00160,2023-02-18,CUST0226,Customer_226,South,Consumer,Furniture,Furnishings,775.53,4,94.72
ORD00161,2022-01-02,CUST0198,Customer_198,West,Consumer,Technology,Accessories,1833.88,10,186.75
ORD00162,2023-07-21,CUST0046,Customer_46,South,Consumer,Technology,Accessories,914.99,1,158.65
ORD00163,2023-08-08,CUST0245,Customer_245,Central,Consumer,Office Supplies,Paper,606.66,3,180.32
ORD00164,2022-05-18,CUST0253,Customer_253,West,Consumer,Office Supplies,Storage,1166.65,5,341.48
ORD00165,2022-10-14,CUST0124,Customer_124,East,Corporate,Furniture,Tables,241.49,3,60.33
ORD00166,2023-12-09,CUST0171,Customer_171,South,Home Office,Technology,Machines,599.89,9,-25.21
ORD00167,2022-07-21,CUST0217,Customer_217,South,Home Office,Office Supplies,Binders,1910.99,9,418.13
ORD00168,2022-05-22,CUST0073,Customer_73,South,Corporate,Technology,Accessories,1416.24,8,277.22
ORD00169,2023-12-12,CUST0010,Customer_10,West,Consumer,Furniture,Chairs,126.68,2,-7.9
ORD00170,2022-08-29,CUST0171,Customer_171,South,Home Office,Office Supplies,Art,72.74,5,3.81
ORD00171,2023-04-23,CUST0261,Customer_261,East,Home Office,Technology,Copiers,1105.74,7,117.99
ORD00172,2023-10-29,CUST0023,Customer_23,South,Corporate,Technology,Machines,508.09,9,109.57
ORD00173,2022-03-28,CUST0288,Customer_288,West,Consumer,Furniture,Furnishings,760.39,8,38.89
ORD00174,2022-02-03,CUST0153,Customer_153,East,Corporate,Office Supplies,Storage,1913.22,1,261.02
ORD00175,2022-02-26,CUST0064,Customer_64,South,Home Office,Technology,Copiers,109.94,7,-5.12
ORD00176,2022-12-10,CUST0090,Customer_90,West,Corporate,Furniture,Bookcases,1061.03,7,-94.08
ORD00177,2023-02-12,CUST0062,Customer_62,South,Consumer,Office Supplies,Paper,754.53,7,32.59
ORD00178,2023-11-10,CUST0125,Customer_125,South,Consumer,Office Supplies,Art,851.2,3,110.31
ORD00179,2023-11-24,CUST0091,Customer_91,South,Consumer,Office Supplies,Paper,1767.16,5,161.06
ORD00180,2022-09-28,CUST0183,Customer_183,South,Corporate,Furniture,Furnishings,1349.92,1,309.59
ORD00181,2023-04-02,CUST0117,Customer_117,South,Consumer,Furniture,Chairs,1655.35,9,5.93
ORD00182,2022-05-25,CUST0138,Customer_138,West,Consumer,Furniture,Bookcases,458.57,7,54.43
ORD00183,2023-03-18,CUST0034,Customer_34,East,Consumer,Technology,Accessories,1520.27,6,-17.9
ORD00184,2023-05-10,CUST0141,Customer_141,West,Home Office,Technology,Accessories,1391.68,4,395.03
ORD00185,2022-10-11,CUST0025,Customer_25,West,Home Office,Technology,Phones,1063.18,7,245.33
ORD00186,2023-08-02,CUST0278,Customer_278,Central,Consumer,Office Supplies,Art,1074.85,6,65.25
ORD00187,2022-11-16,CUST0166,Customer_166,West,Consumer,Technology,Machines,374.3,10,-35.75
ORD00188,2023-12-03,CUST0064,Customer_64,South,Home Office,Technology,Accessories,408.02,8,51.89
ORD00189,2022-03-04,CUST0056,Customer_56,West,Consumer,Office Supplies,Binders,1530.64,5,-103.36
ORD00190,2022-10-11,CUST0159,Customer_159,East,Home Office,Furniture,Furnishings,478.81,5,12.78
ORD00191,2023-02-08,CUST0091,Customer_91,South,Consumer,Technology,Accessories,677.15,10,63.79
ORD00192,2023-06-13,CUST0258,Customer_258,Central,Consumer,Office Supplies,Paper,1405.52,3,52.23
ORD00193,2023-02-17,CUST0133,Customer_133,Central,Consumer,Technology,Copiers,710.75,8,0.82
ORD00194,2022-10-23,CUST0108,Customer_108,West,Home Office,Office Supplies,Paper,188.15,10,-11.34
ORD00195,2022-08-14,CUST0002,Customer_2,Central,Home Office,Technology,Accessories,475.34,9,-29.63
ORD00196,2023-04-01,CUST0273,Customer_273,Central,Corporate,Office Supplies,Art,1927.68,7,161.96
ORD00197,2022-03-28,CUST0250,Customer_250,East,Corporate,Office Supplies,Art,1555.16,10,-21.41
ORD00198,2023-05-15,CUST0079,Customer_79,West,Home Office,Furniture,Chairs,670.22,2,97.58
ORD00199,2023-03-11,CUST0211,Customer_211,South,Home Office,Technology,Copiers,1890.06,9,405.91
ORD00200,2023-02-21,CUST0195,Customer_195,East,Corporate,Office Supplies,Binders,903.33,9,16.93
ORD00201,2022-11-28,CUST0050,Customer_50,West,Corporate,Office Supplies,Art,1293.43,7,250.76
ORD00202,2022-03-10,CUST0165,Customer_165,East,Consumer,Technology,Copiers,1362.97,10,-106.99
ORD00203,2022-01-21,CUST0085,Customer_85,East,Consumer,Office Supplies,Paper,1438.77,1,275.0
ORD00204,2022-01-22,CUST0069,Customer_69,South,Corporate,Office Supplies,Paper,1277.78,10,300.84
ORD00205,2023-07-30,CUST0026,Customer_26,East,Corporate,Furniture,Tables,1879.13,10,131.95
ORD00206,2022-11-14,CUST0282,Customer_282,South,Consumer,Furniture,Chairs,1846.2,5,346.28
ORD00207,2022-08-14,CUST0032,Customer_32,Central,Consumer,Office Supplies,Binders,667.78,3,145.64
ORD00208,2023-01-11,CUST0102,Customer_102,East,Home Office,Technology,Machines,1488.76,4,100.43
ORD00209,2023-09-21,CUST0136,Customer_136,West,Home Office,Furniture,Tables,543.77,4,18.97
ORD00210,2023-09-10,CUST0054,Customer_54,Central,Consumer,Office Supplies,Paper,1692.52,9,277.49
ORD00211,2022-11-10,CUST0285,Customer_285,Central,Consumer,Office Supplies,Binders,572.97,8,-19.9
ORD00212,2022-09-29,CUST0259,Customer_259,South,Consumer,Office Supplies,Paper,1617.85,5,318.73
ORD00213,2023-07-12,CUST0057,Customer_57,South,Corporate,Technology,Machines,1185.31,3,-83.21
ORD00214,2023-06-17,CUST0182,Customer_182,West,Home Office,Furniture,Bookcases,815.36,4,88.89
ORD00215,2023-05-15,CUST0192,Customer_192,Central,Corporate,Technology,Phones,435.87,4,-14.48
ORD00216,2022-10-27,CUST0172,Customer_172,East,Home Office,Furniture,Tables,608.41,10,163.36
ORD00217,2022-06-12,CUST0232,Customer_232,East,Consumer,Furniture,Tables,1661.07,10,155.56
ORD00218,2023-04-03,CUST0037,Customer_37,Central,Corporate,Technology,Phones,785.3,7,-66.72
ORD00219,2022-09-11,CUST0212,Customer_212,South,Home Office,Furniture,Furnishings,465.78,5,-8.14
ORD00220,2023-10-04,CUST0170,Customer_170,South,Corporate,Technology,Copiers,1326.89,2,-0.77
ORD00221,2022-05-21,CUST0226,Customer_226,South,Consumer,Technology,Copiers,1234.24,9,-75.9
ORD00222,2022-01-06,CUST0019,Customer_19,East,Consumer,Furniture,Bookcases,1210.74,4,347.47
ORD00223,2022-03-15,CUST0239,Customer_239,West,Corporate,Furniture,Tables,469.04,1,43.73
ORD00224,2022-05-04,CUST0246,Customer_246,Central,Consumer,Technology,Machines,474.3,6,134.71
ORD00225,2022-10-03,CUST0122,Customer_122,South,Corporate,Technology,Accessories,1520.51,3,-33.47
ORD00226,2022-12-01,CUST0245,Customer_245,Central,Consumer,Furniture,Bookcases,1657.57,10,186.83
ORD00227,2023-11-17,CUST0119,Customer_119,West,Home Office,Office Supplies,Binders,1435.17,1,169.43
ORD00228,2023-03-16,CUST0039,Customer_39,West,Consumer,Technology,Phones,81.92,3,-8.08
ORD00229,2023-04-25,CUST0061,Customer_61,East,Consumer,Furniture,Furnishings,1320.03,6,64.16
ORD00230,2023-07-16,CUST0209,Customer_209,West,Corporate,Office Supplies,Storage,1818.68,6,193.85
ORD00231,2023-04-02,CUST0273,Customer_273,Central,Corporate,Furniture,Bookcases,462.42,6,23.42
ORD00232,2023-04-12,CUST0033,Customer_33,Central,Home Office,Office Supplies,Paper,1160.4,5,223.52
ORD00233,2023-02-13,CUST0136,Customer_136,West,Home Office,Furniture,Furnishings,1049.19,4,-96.77
ORD00234,2023-09-09,CUST0123,Customer_123,Central,Corporate,Furniture,Tables,506.23,3,9.6
ORD00235,2023-11-27,CUST0166,Customer_166,West,Consumer,Technology,Copiers,1277.29,4,53.99
ORD00236,2023-09-03,CUST0102,Customer_102,East,Home Office,Technology,Machines,434.16,6,-10.8
ORD00237,2022-08-25,CUST0130,Customer_130,South,Consumer,Office Supplies,Art,940.4,1,-50.57
ORD00238,2022-04-27,CUST0173,Customer_173,East,Home Office,Technology,Accessories,1124.44,1,-72.53
ORD00239,2023-06-21,CUST0216,Customer_216,West,Consumer,Technology,Accessories,337.51,10,69.33
ORD00240,2023-05-11,CUST0058,Customer_58,East,Consumer,Office Supplies,Binders,470.7,2,131.14
ORD00241,2023-09-22,CUST0127,Customer_127,West,Consumer,Technology,Accessories,1918.61,8,326.39
ORD00242,2023-08-14,CUST0254,Customer_254,Central,Consumer,Office Supplies,Art,945.66,7,240.26
ORD00243,2022-12-08,CUST0255,Customer_255,West,Corporate,Technology,Phones,455.41,3,50.01
ORD00244,2023-05-03,CUST0265,Customer_265,Central,Consumer,Technology,Machines,1076.45,1,-87.0
ORD00245,2022-06-01,CUST0022,Customer_22,South,Corporate,Furniture,Tables,215.46,10,-18.88
ORD00246,2023-08-30,CUST0263,Customer_263,South,Corporate,Furniture,Furnishings,581.84,4,18.49
ORD00247,2023-09-22,CUST0156,Customer_156,East,Corporate,Office Supplies,Storage,770.08,2,64.38
ORD00248,2023-07-24,CUST0200,Customer_200,South,Consumer,Office Supplies,Storage,1806.52,5,258.49
ORD00249,2023-06-01,CUST0219,Customer_219,Central,Home Office,Technology,Phones,953.72,1,-46.75
ORD00250,2023-08-22,CUST0158,Customer_158,South,Corporate,Technology,Accessories,1850.98,4,-95.45
ORD00251,2023-12-27,CUST0096,Customer_96,Central,Home Office,Furniture,Chairs,799.0,7,37.08
ORD00252,2023-11-23,CUST0053,Customer_53,South,Home Office,Furniture,Chairs,1502.85,7,137.46
ORD00253,2022-10-21,CUST0041,Customer_41,East,Home Office,Office Supplies,Storage,1920.45,7,29.31
ORD00254,2023-12-01,CUST0185,Customer_185,Central,Corporate,Office Supplies,Storage,381.34,10,54.79
ORD00255,2023-03-17,CUST0089,Customer_89,South,Home Office,Office Supplies,Storage,1119.76,9,9.78
ORD00256,2022-02-18,CUST0086,Customer_86,Central,Home Office,Technology,Copiers,1968.17,7,133.43
ORD00257,2023-06-18,CUST0149,Customer_149,Central,Corporate,Office Supplies,Storage,1996.32,9,564.48
ORD00258,2022-02-19,CUST0292,Customer_292,Central,Corporate,Furniture,Tables,1154.25,2,-89.32
ORD00259,2023-09-15,CUST0249,Customer_249,East,Consumer,Furniture,Bookcases,1843.32,1,387.63
ORD00260,2023-08-09,CUST0165,Customer_165,East,Consumer,Office Supplies,Paper,685.67,8,73.45
ORD00261,2022-06-24,CUST0204,Customer_204,Central,Consumer,Office Supplies,Art,1260.79,10,74.54
ORD00262,2022-12-23,CUST0020,Customer_20,South,Consumer,Furniture,Furnishings,1998.54,1,-31.02
ORD00263,2022-08-04,CUST0276,Customer_276,West,Consumer,Furniture,Bookcases,1591.9,2,340.91
